"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2017 00:00 - 01/01/2017 01:00","BZN|SE4","2388.00","2348.00"
"01/01/2017 01:00 - 01/01/2017 02:00","BZN|SE4","2342.00","2307.00"
"01/01/2017 02:00 - 01/01/2017 03:00","BZN|SE4","2291.00","2254.00"
"01/01/2017 03:00 - 01/01/2017 04:00","BZN|SE4","2189.00","2208.00"
"01/01/2017 04:00 - 01/01/2017 05:00","BZN|SE4","2155.00","2208.00"
"01/01/2017 05:00 - 01/01/2017 06:00","BZN|SE4","2159.00","2251.00"
"01/01/2017 06:00 - 01/01/2017 07:00","BZN|SE4","2228.00","2317.00"
"01/01/2017 07:00 - 01/01/2017 08:00","BZN|SE4","2352.00","2389.00"
"01/01/2017 08:00 - 01/01/2017 09:00","BZN|SE4","2427.00","2423.00"
"01/01/2017 09:00 - 01/01/2017 10:00","BZN|SE4","2470.00","2464.00"
"01/01/2017 10:00 - 01/01/2017 11:00","BZN|SE4","2624.00","2553.00"
"01/01/2017 11:00 - 01/01/2017 12:00","BZN|SE4","2792.00","2632.00"
"01/01/2017 12:00 - 01/01/2017 13:00","BZN|SE4","2927.00","2681.00"
"01/01/2017 13:00 - 01/01/2017 14:00","BZN|SE4","2922.00","2713.00"
"01/01/2017 14:00 - 01/01/2017 15:00","BZN|SE4","2839.00","2749.00"
"01/01/2017 15:00 - 01/01/2017 16:00","BZN|SE4","2941.00","2858.00"
"01/01/2017 16:00 - 01/01/2017 17:00","BZN|SE4","3106.00","3014.00"
"01/01/2017 17:00 - 01/01/2017 18:00","BZN|SE4","3168.00","3071.00"
"01/01/2017 18:00 - 01/01/2017 19:00","BZN|SE4","3093.00","3057.00"
"01/01/2017 19:00 - 01/01/2017 20:00","BZN|SE4","3024.00","2990.00"
"01/01/2017 20:00 - 01/01/2017 21:00","BZN|SE4","2929.00","2907.00"
"01/01/2017 21:00 - 01/01/2017 22:00","BZN|SE4","2815.00","2815.00"
"01/01/2017 22:00 - 01/01/2017 23:00","BZN|SE4","2749.00","2705.00"
"01/01/2017 23:00 - 02/01/2017 00:00","BZN|SE4","2663.00","2612.00"
"02/01/2017 00:00 - 02/01/2017 01:00","BZN|SE4","2627.00","2621.00"
"02/01/2017 01:00 - 02/01/2017 02:00","BZN|SE4","2544.00","2614.00"
"02/01/2017 02:00 - 02/01/2017 03:00","BZN|SE4","2529.00","2633.00"
"02/01/2017 03:00 - 02/01/2017 04:00","BZN|SE4","2591.00","2659.00"
"02/01/2017 04:00 - 02/01/2017 05:00","BZN|SE4","2690.00","2901.00"
"02/01/2017 05:00 - 02/01/2017 06:00","BZN|SE4","2867.00","3026.00"
"02/01/2017 06:00 - 02/01/2017 07:00","BZN|SE4","3327.00","3324.00"
"02/01/2017 07:00 - 02/01/2017 08:00","BZN|SE4","3715.00","3663.00"
"02/01/2017 08:00 - 02/01/2017 09:00","BZN|SE4","3855.00","3831.00"
"02/01/2017 09:00 - 02/01/2017 10:00","BZN|SE4","3957.00","3864.00"
"02/01/2017 10:00 - 02/01/2017 11:00","BZN|SE4","4058.00","3952.00"
"02/01/2017 11:00 - 02/01/2017 12:00","BZN|SE4","4025.00","3955.00"
"02/01/2017 12:00 - 02/01/2017 13:00","BZN|SE4","3914.00","3919.00"
"02/01/2017 13:00 - 02/01/2017 14:00","BZN|SE4","3941.00","3902.00"
